supplier_id,supplier_name,capacity_scope_id,metric,unit,p10,p50,p90,mean,minimum,maximum,criticality_probability
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,customer_allocated_stack_share,ratio,0.3226254339688571,0.3862337830053889,0.45260694492834236,0.38701850391954246,0.22444750577258143,0.580779128272114,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,customer_allocated_stacks,stack,706356.3684693857,874811.4047331568,1069180.91302742,882652.0265859638,439866.320177092,1435943.6414280154,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,good_stacks,stack,1669358.6288391233,2003116.8778083208,2351026.3049571887,2008099.9795203102,1274485.8321464641,2917031.994745198,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,gross_dies,die,16152804.887890935,19265241.605664056,22382933.470040254,19270265.700346407,12814345.717597477,26773800.7096409,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,gross_dies_per_wafer,die/wafer,520.7325178823619,550.1841354277589,581.9360548948497,550.8830250742528,495.9394985100257,611.7040300301483,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,known_good_dies,die,14542372.952180019,17392365.239802033,20302999.089731507,17416114.890506797,10945988.259984868,24230212.471384186,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,platform_package_equivalents,package,88294.54605867321,109351.4255916446,133647.6141284275,110331.50332324547,54983.2900221365,179492.95517850193,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,platform_qualified_stacks,stack,1317100.6716689295,1598960.5826740055,1905829.8156296168,1606975.0650764843,940868.9597988264,2413519.2632015008,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,qualified_stacks_allocated_elsewhere,stack,573391.7314070546,717838.5393886995,885390.3193303082,724323.0384905204,374547.01670800475,1235384.7783091,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,raw_stacks,stack,1817796.6190225023,2174045.654975254,2537874.8862164384,2177014.3613133496,1368248.5324981085,3028776.5589230233,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,stacks_consumed_for_demand,stack,706291.0410926309,874085.3100847923,1067811.8740403652,882034.5716200601,439866.320177092,1435943.6414280154,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,unconsumed_customer_reserved_stacks,stack,0.0,0.0,0.0,617.4549659035442,0.0,216919.93247500854,1.0
micron,Micron Technology,micron-global-hbm3e-compatible-2026q3,unqualified_good_stacks,stack,278722.59450985945,395654.2411216713,531321.9713990695,401124.91444382595,145234.23929071124,852938.1161320191,1.0
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,customer_allocated_stack_share,ratio,0.07288284225867811,0.10593498556365386,0.14892530488464828,0.10889661718991744,0.03891578134497369,0.2671302572809485,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,customer_allocated_stacks,stack,164066.25595162794,239749.28028623425,343406.84276438784,247981.62800341463,85121.6646337037,622979.7220303065,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,good_stacks,stack,1240062.6261206307,1542607.1391608822,1866560.1905012985,1549994.2569697523,874332.3792342984,2445004.2961602695,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,gross_dies,die,13373780.184671884,16478197.611122064,19607421.30380034,16506160.489782343,10257907.671939434,23615107.21133087,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,gross_dies_per_wafer,die/wafer,520.5644740443872,549.6927807527304,581.7098897906644,550.5046545340145,496.0228944676995,612.4547508571723,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,known_good_dies,die,11505771.015858151,14220050.980564939,17047656.17208609,14253391.577642538,8375466.407375844,21877280.855557505,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,platform_package_equivalents,package,20508.281993953493,29968.66003577928,42925.85534554848,30997.70350042683,10640.208079212962,77872.46525378831,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,platform_qualified_stacks,stack,691210.0821623128,916670.0495393487,1184779.3863722838,930644.8835593739,429289.1695312702,1812622.8965774637,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,qualified_stacks_allocated_elsewhere,stack,498684.29591865593,671429.5150296916,881546.8805418498,682663.2555559592,294141.0865892159,1383730.3292807322,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,raw_stacks,stack,1438221.3769822689,1777506.3725706174,2130957.021510761,1781673.9472053172,1046933.3009219805,2734660.106944688,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,stacks_consumed_for_demand,stack,163968.2319790487,239688.48981041834,342989.16874144465,247802.32959356357,85121.6646337037,622979.7220303065,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,unconsumed_customer_reserved_stacks,stack,0.0,0.0,0.0,179.29840985107577,0.0,92757.14560783247,0.99835
samsung,Samsung Electronics,samsung-global-hbm3e-compatible-2026q3,unqualified_good_stacks,stack,421653.1290396794,609980.4346105151,832669.143116073,619349.3734103783,198434.84779339447,1278069.1690532728,0.99835
