component_id,component_name,stage,resource_kind,capacity_scope_id,metric,unit,p10,p50,p90,mean,minimum,maximum,bottleneck_probability
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,good_output,switch_tray,3740.9758994179388,4239.186931558227,4740.771574595182,4240.113192787653,3352.1730741684964,5140.090906442786,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,platform_qualified_output,switch_tray,3545.8869316040195,4026.4708403090517,4512.140289037265,4028.0361991699538,3046.040485966365,5032.65054287247,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,rack_equivalents,rack,360.05671066614434,410.20444397625374,460.36164817809293,410.27339265891055,303.43290031513015,520.7948535429128,0.0044
nvlink-switch-trays,NVLink switch trays,rack_integration,network_switch,gb200-nvlink-switch-tray-pool-2026q3,unused_customer_allocated_output,switch_tray,483.8183096175201,997.0809545901329,1511.2461026234946,998.5253777708631,0.0,2335.4556828772124,0.0044
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,capacity,switch,1011.5055298139287,1148.5839627447551,1288.1990141251424,1149.280023423159,901.2007592018986,1397.848930657529,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,consumed_output,switch,541.3217889796148,597.723722539939,656.5560228487809,598.652256924296,452.6838826147044,768.7114161815086,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,customer_allocated_output,switch,857.5509273912598,987.4440131505739,1118.3210964689938,987.6520235427929,712.8232764064816,1271.5713005741186,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,customer_allocated_utilization,ratio,0.5174119656571181,0.6060663294834869,0.716105094063879,0.61228568502513,0.3947925183901303,0.8513551966058416,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,good_output,switch,988.8432369760758,1133.5753349994463,1280.3297855310254,1134.1387999851545,874.2384481318359,1396.313683889706,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,platform_qualified_output,switch,937.5011095820804,1076.876266202264,1217.9943085583193,1077.4110756656492,795.0828143986673,1366.7745180862728,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,rack_equivalents,rack,428.7754636956299,493.72200657528697,559.1605482344969,493.82601177139645,356.4116382032408,635.7856502870593,0.0
management-tor-switches,Management top-of-rack switches,rack_integration,network_switch,gb200-management-tor-pool-2026q3,unused_customer_allocated_output,switch,247.84840305526143,388.14618925537957,530.7096910632318,388.9997666184969,105.95747577622126,739.2412398079002,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,capacity,power_shelf,3821.2785358065726,4225.812172016107,4659.545651930273,4233.154554624368,3512.2484445860327,4992.372767622046,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,consumed_output,power_shelf,2165.287155918459,2390.894890159756,2626.2240913951237,2394.609027697184,1810.7355304588175,3074.8456647260346,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,customer_allocated_output,power_shelf,3205.930719432801,3611.329988601912,4037.849575486177,3616.7738714716015,2778.024470746828,4587.262887104661,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,customer_allocated_utilization,ratio,0.5713115298896537,0.6630585604467923,0.7685753979643192,0.6671011929940004,0.4527064807677317,0.9920200920390062,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,good_output,power_shelf,3704.866408937612,4147.707154121968,4615.052721575318,4153.627379659747,3373.035364172077,4976.663204610784,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,platform_qualified_output,power_shelf,3512.1864342140393,3937.910494072818,4387.832895955548,3945.56146675852,3071.0451385913025,4864.5067535522785,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,rack_equivalents,rack,400.74133992910015,451.416248575239,504.7311969357721,452.0967339339502,347.2530588433535,573.4078608880826,0.0
power-shelves,Rack power shelves,rack_integration,power_delivery,gb200-power-shelf-pool-2026q3,unused_customer_allocated_output,power_shelf,757.6902987186932,1217.596317805452,1696.904565577602,1222.1648437744177,24.292137705178448,2367.970778902113,0.0
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,capacity,rack_cooling_set,419.4112399331768,467.5324839408322,518.4020631274461,468.3272243411896,380.449750666244,559.6124126530938,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,consumed_output,rack_cooling_set,270.6608944898074,298.8618612699695,328.27801142439046,299.326128462148,226.3419413073522,384.3557080907543,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,customer_allocated_output,rack_cooling_set,343.45994887417163,396.8796486768322,453.86757019341326,397.8907159899853,288.5259175035103,524.4903183648753,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,customer_allocated_utilization,ratio,0.6394662571797147,0.7535602515254053,0.8930591212541868,0.7603594309020029,0.4766543473355855,1.0,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,good_output,rack_cooling_set,379.43307621945024,437.0360329532107,497.60435460537235,437.8546847991002,334.90293227723845,548.3152611676957,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,platform_qualified_output,rack_cooling_set,359.74004569667625,414.89152747706555,473.474306736823,415.94434820818833,308.2008197981455,534.5129408884472,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,rack_equivalents,rack,343.45994887417163,396.8796486768322,453.86757019341326,397.8907159899853,288.5259175035103,524.4903183648753,0.013
liquid-cooling-integration,Liquid-cooling rack integration sets,rack_integration,cooling,gb200-cooling-integration-pool-2026q3,unused_customer_allocated_output,rack_cooling_set,37.37423372719271,97.44843520809485,160.4333980866689,98.56458752783736,0.0,264.98094184232775,0.013
