draw_index,memory_dies_per_stack,stacks_per_accelerator,accelerator_package_demand,demanded_stacks,good_stacks,platform_qualified_stacks,customer_allocated_stacks,hbm_package_equivalents,packages_supported,supplier.sk-hynix.customer_allocated_stacks,supplier.micron.customer_allocated_stacks,supplier.samsung.customer_allocated_stacks
81,8.0,8.0,357378.10205863893,2859024.8164691115,7333477.449299231,5684724.644004777,2583888.4801128423,322986.0600141053,322986.0600141053,1198389.700265031,1221449.7452982755,164049.03454953557
82,8.0,8.0,448188.5692164508,3585508.5537316063,7219798.743669897,5643926.407886571,2750477.630797484,343809.7038496855,343809.7038496855,1563912.6642330484,908611.1421057514,277953.8244586843
83,8.0,8.0,405240.96452364797,3241927.7161891838,5877793.157671984,4523738.143649419,2161502.0826135543,270187.7603266943,270187.7603266943,1139450.2685890382,835413.8911812343,186637.92284328176
84,8.0,8.0,470039.0723501975,3760312.57880158,6464501.058713433,4635176.354968179,2099750.6267594015,262468.8283449252,262468.8283449252,1011260.8250672832,811735.1264187191,276754.67527339933
85,8.0,8.0,302720.5388303392,2421764.3106427137,6228511.150165221,4675504.53868285,2136957.7988869054,267119.7248608632,267119.7248608632,1009312.9874120323,865569.9192182595,262074.8922566135
86,8.0,8.0,394589.1090950681,3156712.872760545,6709291.945935741,4894947.352404065,2102995.7789487,262874.4723685875,262874.4723685875,1149152.5986880197,738163.3753363391,215679.80492434112
87,8.0,8.0,330111.4514125032,2640891.6113000256,6856778.167027388,5251076.951785864,2075142.5167729282,259392.81459661602,259392.81459661602,1042859.6929008531,765137.2485877156,267145.5752843596
88,8.0,8.0,320943.0775616843,2567544.6204934744,6868927.917120456,5197341.727058811,2411240.1112948377,301405.0139118547,301405.0139118547,916177.103005657,1221428.5174710301,273634.4908181505
89,8.0,8.0,393986.6212722469,3151892.970177975,6282068.956229761,4717718.040087523,1899471.2670542926,237433.90838178658,237433.90838178658,1019332.1881471856,678954.0573708917,201185.02153621527
90,8.0,8.0,390950.88308097754,3127607.0646478203,6731971.619933185,5210463.742686379,2027233.3895953575,253404.17369941968,253404.17369941968,1057026.0935740103,788737.7649635806,181469.53105776655
91,8.0,8.0,329353.83836544654,2634830.7069235723,7163654.424120512,5629369.8648823965,2675246.1587816607,334405.7698477076,329353.83836544654,1181364.2747537892,1221064.393922669,272817.49010520225
92,8.0,8.0,358956.5760484482,2871652.6083875857,7069092.448422587,5602208.406506782,2686971.5718360734,335871.4464795092,335871.4464795092,1462628.990819742,1015824.425749661,208518.1552666703
93,8.0,8.0,306344.24159140524,2450753.932731242,6702781.661904151,4770862.276844825,2092155.2974697668,261519.41218372085,261519.41218372085,930839.1927459053,911390.178243024,249925.92648083743
94,8.0,8.0,445384.99604817753,3563079.9683854203,6043285.313607597,4519562.832837691,2081144.8916879054,260143.11146098818,260143.11146098818,1334943.4697536328,618758.8557137937,127442.56622047888
95,8.0,8.0,440137.41572665377,3521099.32581323,6808381.549631394,5039837.471503735,2174937.707616665,271867.2134520831,271867.2134520831,982475.3546548907,863706.2950374777,328756.05792429665
96,8.0,8.0,395294.9015794413,3162359.2126355306,7692302.867358803,5642342.695757646,2845091.6202800563,355636.45253500703,355636.45253500703,1752837.2216673142,912617.6641860356,179636.73442670662
97,8.0,8.0,419415.51269763114,3355324.101581049,5904075.066623267,5015749.691825403,2431234.6876092125,303904.33595115156,303904.33595115156,1224096.8584414592,933947.0104152582,273190.818752495
98,8.0,8.0,432750.5356228311,3462004.2849826487,7503178.292451984,5870152.597117662,2589723.409213573,323715.42615169665,323715.42615169665,1134198.4406754582,1188683.359107856,266841.6094302589
99,8.0,8.0,369673.4864053648,2957387.8912429186,5954078.735484101,4631828.7297925465,2353132.5774888024,294141.5721861003,294141.5721861003,924903.4583712434,1125418.7754380067,302810.34367955214
100,8.0,8.0,425078.1644092621,3400625.315274097,6631234.819884456,4730362.840276673,2086248.9263540923,260781.11579426154,260781.11579426154,923000.2538601294,904413.138577181,258835.5339167819
101,8.0,8.0,357043.4767244702,2856347.8137957617,6588402.457646843,5058263.013399208,2194471.7954752534,274308.9744344067,274308.9744344067,720198.9264077342,1017548.8740213597,456723.9950461593
102,8.0,8.0,472410.4937716981,3779283.9501735847,6283345.56826473,4983719.464536048,2250372.5401845705,281296.5675230713,281296.5675230713,1344044.251936209,664057.9851090783,242270.30313928315
103,8.0,8.0,434897.1862035531,3479177.489628425,6748364.597671806,4965198.903037881,2195152.141572433,274394.01769655413,274394.01769655413,1292239.9736616535,594249.6854301214,308662.4824806584
104,8.0,8.0,469557.04035326804,3756456.3228261443,6182950.833008703,4647575.8046761975,1983613.1153547817,247951.63941934772,247951.63941934772,756688.5463799206,973591.1393205684,253333.42965429276
105,8.0,8.0,382152.48157989106,3057219.8526391285,6610967.092201546,4566369.27641676,2129093.3734929855,266136.6716866232,266136.6716866232,904005.1319692219,1028246.7800943826,196841.4614293809
106,8.0,8.0,492727.6638595705,3941821.310876564,5665752.277798715,4527656.525211426,1918369.6755228494,239796.20944035618,239796.20944035618,1095562.1602072224,611147.7777135218,211659.73760210525
107,8.0,8.0,370380.5713450293,2963044.5707602343,7353361.348181499,6002851.13849449,2950024.0403474434,368753.0050434304,368753.0050434304,1692570.288450779,981043.6235087891,276410.1283878754
108,8.0,8.0,423721.5964522646,3389772.7716181166,6644588.765039545,5255736.243984618,2294884.431122845,286860.55389035563,286860.55389035563,1032358.8738139209,968596.6275648524,293928.9297440719
109,8.0,8.0,403373.70996476617,3226989.6797181293,6577764.586622944,5133084.09381808,2183462.7778318073,272932.8472289759,272932.8472289759,966889.151432891,1016086.4980541106,200487.1283448056
110,8.0,8.0,440209.7599946257,3521678.0799570056,6853477.143570144,5111993.098824305,2420316.6008973755,302539.57511217194,302539.57511217194,1366298.8150600663,851286.0305737528,202731.75526355638
111,8.0,8.0,395865.61794783606,3166924.9435826885,6812903.806787696,5152796.887066398,2451912.6775284926,306489.0846910616,306489.0846910616,1326154.8210232619,862237.9646416032,263519.8918636275
112,8.0,8.0,389114.67896758387,3112917.431740671,6234573.278693609,4528240.169533088,1967151.7568636623,245893.96960795778,245893.96960795778,978829.7772767879,803657.0915236268,184664.8880632476
113,8.0,8.0,375126.46908022254,3001011.7526417803,7001951.212658393,5778196.246255328,2577638.4962427025,322204.8120303378,322204.8120303378,1309033.173475719,1080019.4426896556,188585.8800773278
114,8.0,8.0,418989.31002594234,3351914.4802075387,6893074.4903640635,5400312.15144087,2435483.3851881865,304435.4231485233,304435.4231485233,1236057.8077826463,890066.2180848063,309359.3593207337
115,8.0,8.0,400411.7575788815,3203294.060631052,5610542.875114486,4060427.7260619258,1727106.3198707795,215888.28998384744,215888.28998384744,860586.4812520498,684560.8788368817,181958.9597818481
116,8.0,8.0,382673.88720763545,3061391.0976610836,6978374.57748246,5563220.526875811,2301422.1281179846,287677.7660147481,287677.7660147481,1350576.6119858518,785374.2784891558,165471.237642977
117,8.0,8.0,401864.1770328426,3214913.4162627407,7396035.721807736,5642855.738208451,2370812.742626186,296351.59282827325,296351.59282827325,1147414.653609119,1041226.1431239052,182171.94589316187
118,8.0,8.0,387397.2380137524,3099177.904110019,6966258.734511959,5055785.473043049,2184803.686665157,273100.4608331446,273100.4608331446,923241.2201822728,855673.3216545775,405889.14482830657
119,8.0,8.0,415377.1162049993,3323016.9296399946,7137969.677265265,5643774.380564451,2728820.957930562,341102.61974132026,341102.61974132026,1372324.041271007,882287.7202118115,474209.19644774386
120,8.0,8.0,358198.263604834,2865586.108838672,6462697.480080524,5305308.626263102,2087419.9085674263,260927.48857092828,260927.48857092828,1209539.516729443,716871.7422948034,161008.64954317975
121,8.0,8.0,396530.20361662115,3172241.628932969,5643712.639814532,4392379.014549896,2074441.9411838497,259305.2426479812,259305.2426479812,1022743.7633076945,779830.0208481404,271868.1570280149
122,8.0,8.0,343394.35483518743,2747154.8386814995,5916763.800397426,4569791.987010305,1896666.2485738825,237083.2810717353,237083.2810717353,887220.3094483382,698999.3288616552,310446.61026388896
123,8.0,8.0,401944.5011325042,3215556.0090600336,6346471.54759835,5059766.952452466,2325863.3312190585,290732.9164023823,290732.9164023823,1092645.118865896,1101087.6787169103,132130.5336362522
124,8.0,8.0,471808.70563184033,3774469.6450547227,7054274.993674313,5515942.043849378,2369746.5355714136,296218.3169464267,296218.3169464267,1034676.232058206,1053714.071872854,281356.23164035374
125,8.0,8.0,398768.373119468,3190146.984955744,7064016.157248557,5611581.4720574785,2467597.8290378014,308449.72862972517,308449.72862972517,1515007.0099053835,762277.8349331935,190312.9841992245
126,8.0,8.0,455217.5095496824,3641740.076397459,6160908.445462761,4682093.317084784,2020099.384512884,252512.4230641105,252512.4230641105,1052396.801906119,638893.4948711469,328809.087735618
127,8.0,8.0,353952.5717315953,2831620.5738527626,6677534.547158212,5563396.801680416,2432354.2316787145,304044.2789598393,304044.2789598393,1201227.951824392,942205.0591753921,288921.2206789306
128,8.0,8.0,397596.8170431871,3180774.536345497,6594086.331254769,4913182.540613845,2255143.1016318765,281892.88770398457,281892.88770398457,988143.6579491177,1046726.0117857049,220273.43189705376
129,8.0,8.0,452971.1525278569,3623769.220222855,7277118.441694774,5713723.472154449,2613639.273508431,326704.90918855387,326704.90918855387,1356914.6669952346,955014.089853929,301710.5166592672
130,8.0,8.0,355610.36757038406,2844882.9405630725,7321342.084891244,6083145.973791573,2695308.0283046,336913.503538075,336913.503538075,1501998.9366349294,832599.7766734785,360709.31499619223
131,8.0,8.0,451645.0061421223,3613160.0491369786,7721320.670120105,5817269.730507668,2707960.664437274,338495.08305465925,338495.08305465925,1420598.0323818908,995333.2775748868,292029.3544804963
132,8.0,8.0,424657.00248146337,3397256.019851707,6487723.076928638,5072863.423175389,2099222.121844135,262402.7652305169,262402.7652305169,1109724.8127089741,775313.9046756153,214183.40445954568
133,8.0,8.0,344193.00089286175,2753544.007142894,5933376.883613025,4499959.773795778,1943949.9479722083,242993.74349652603,242993.74349652603,1105895.6579102562,644856.6575313434,193197.63253060877
134,8.0,8.0,465040.5591736571,3720324.4733892567,6558081.626717057,4972279.698377731,2408128.1488252757,301016.01860315946,301016.01860315946,1237461.5017799411,966520.3691944631,204146.27785087167
135,8.0,8.0,424645.9907440206,3397167.925952165,7158503.0639156625,5653381.364350414,2697932.1053484804,337241.51316856005,337241.51316856005,1509106.1468512923,945236.3704546808,243589.58804250733
136,8.0,8.0,432099.3169389327,3456794.5355114616,6013784.532620665,4752512.139423983,2104875.291978147,263109.41149726836,263109.41149726836,943849.0776761826,790689.1709539575,370337.0433480067
137,8.0,8.0,405306.3108092046,3242450.4864736367,6939757.080713162,5567065.444307963,2654620.5838256273,331827.5729782034,331827.5729782034,1281970.9775980422,1042742.2426614461,329907.363566139
138,8.0,8.0,369687.7374645083,2957501.899716066,6308950.189203753,4536517.178927235,2021325.5535118235,252665.69418897794,252665.69418897794,937976.4527423673,933302.4161955287,150046.68457392746
139,8.0,8.0,363239.83082234446,2905918.6465787557,6209246.132154329,4581494.788175868,1860956.9836349327,232619.62295436658,232619.62295436658,775409.5413851718,902865.9597683104,182681.48248145042
140,8.0,8.0,486376.9740799485,3891015.792639588,6853961.590755613,5080699.374197248,2168662.9678018573,271082.87097523216,271082.87097523216,1272473.701949496,682491.439039975,213697.82681238622
141,8.0,8.0,356741.4801416463,2853931.8411331703,5986397.5292538265,4517084.112140279,2137497.594355963,267187.1992944954,267187.1992944954,887130.77099456,914793.4138883051,335573.4094730981
142,8.0,8.0,412174.8908348626,3297399.126678901,7066239.52862325,5282614.879611629,2277401.5218715766,284675.19023394707,284675.19023394707,1176867.4689770998,865699.7781195522,234834.27477492447
143,8.0,8.0,403855.0914151412,3230840.7313211295,6416649.7547935825,4744426.917665923,2076154.5316219896,259519.3164527487,259519.3164527487,945948.6275983107,956747.0828720155,173458.82115166332
144,8.0,8.0,345812.83333990484,2766502.6667192387,5821718.310743837,4683863.561159044,2098227.9947240255,262278.4993405032,262278.4993405032,965139.2206195166,1006393.7295875384,126695.04451697042
145,8.0,8.0,413873.80851470295,3310990.4681176236,6218530.848846373,4495828.578524145,2245867.5699398443,280733.44624248054,280733.44624248054,1114070.3800046733,920274.1222875534,211523.0676476176
146,8.0,8.0,345201.9999422555,2761615.999538044,6798867.901899461,5065909.069463603,2480967.2675895654,310120.90844869567,310120.90844869567,1588440.476048314,718455.7315305112,174071.06001074007
147,8.0,8.0,416827.2774031386,3334618.2192251086,7019085.6908364445,5418537.19168507,2359570.6920545083,294946.33650681353,294946.33650681353,1050350.0681513418,999326.5970864162,309894.0268167503
148,8.0,8.0,408400.48586996837,3267203.886959747,7130881.963343467,5372550.109564509,2256226.3408133816,282028.2926016727,282028.2926016727,1095217.3619705308,904373.7635739449,256635.215268906
