owner_type,owner_id,parameter,branch,low,base,high,unit,confidence,last_updated,influence_probability,influence_method,research_priority,methodology,evidence_ids,confirming_evidence,falsifying_evidence,conditional_on_current_scenario
hbm_supplier,sk-hynix,wafer.wafer_diameter_mm,hbm_good_stacks,300.0,300.0,300.0,mm,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Unverified reference wafer diameter for sk-hynix; do not infer it from Micron evidence.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,sk-hynix,wafer.wafer_starts,hbm_good_stacks,40000.0,55000.0,70000.0,wafer,0.3,2026-07-19,0.48733968635992037,Linked HBM binding probability multiplied by upstream supplier share,0.34113778045194426,Illustrative quarterly sk-hynix HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,customer_allocation_share,hbm_good_stacks,0.45,0.55,0.65,ratio,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative share of Micron Technology Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,known_good_die_yield,hbm_good_stacks,0.84,0.91,0.96,ratio,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative Micron Technology known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,platform_qualified_share,hbm_good_stacks,0.7,0.8,0.9,ratio,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative share of Micron Technology good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,stack_assembly_yield,hbm_good_stacks,0.9,0.95,0.985,ratio,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative Micron Technology HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,stack_final_test_yield,hbm_good_stacks,0.95,0.98,0.997,ratio,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative Micron Technology HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,wafer.die_height_mm,hbm_good_stacks,10.5,11.0,11.5,mm,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative micron HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,wafer.die_width_mm,hbm_good_stacks,9.5,10.0,10.5,mm,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative micron HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,wafer.edge_exclusion_mm,hbm_good_stacks,2.0,2.5,3.0,mm,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative micron HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,wafer.scribe_width_mm,hbm_good_stacks,0.05,0.08,0.11,mm,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative micron HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,micron,wafer.wafer_starts,hbm_good_stacks,25000.0,35000.0,45000.0,wafer,0.3,2026-07-19,0.37319839282895706,Linked HBM binding probability multiplied by upstream supplier share,0.26123887498026993,Illustrative quarterly micron HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,customer_allocation_share,hbm_good_stacks,0.15,0.25,0.4,ratio,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative share of Samsung Electronics Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,known_good_die_yield,hbm_good_stacks,0.78,0.87,0.94,ratio,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative Samsung Electronics known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,platform_qualified_share,hbm_good_stacks,0.4,0.6,0.8,ratio,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative share of Samsung Electronics good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,stack_assembly_yield,hbm_good_stacks,0.84,0.91,0.97,ratio,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative Samsung Electronics HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,stack_final_test_yield,hbm_good_stacks,0.92,0.965,0.992,ratio,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative Samsung Electronics HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.die_height_mm,hbm_good_stacks,10.5,11.0,11.5,mm,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative samsung HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.die_width_mm,hbm_good_stacks,9.5,10.0,10.5,mm,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative samsung HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.edge_exclusion_mm,hbm_good_stacks,2.0,2.5,3.0,mm,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative samsung HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.scribe_width_mm,hbm_good_stacks,0.05,0.08,0.11,mm,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative samsung HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.wafer_diameter_mm,hbm_good_stacks,300.0,300.0,300.0,mm,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Unverified reference wafer diameter for samsung; do not infer it from Micron evidence.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
hbm_supplier,samsung,wafer.wafer_starts,hbm_good_stacks,20000.0,30000.0,40000.0,wafer,0.3,2026-07-19,0.10235967980088054,Linked HBM binding probability multiplied by upstream supplier share,0.07165177586061637,Illustrative quarterly samsung HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,True
logic_process,logic-yield-and-binning,clustering_alpha,logic_binned_dies,2.0,3.0,4.0,alpha,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative negative-binomial defect-clustering parameter.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_process,logic-yield-and-binning,defect_density_per_cm2,logic_binned_dies,0.05,0.08,0.12,defects/cm2,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative random-defect density for the negative-binomial yield model.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_process,logic-yield-and-binning,performance_bin_share,logic_binned_dies,0.65,0.78,0.88,ratio,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative share of known-good logic dies that meet the modeled accelerator bin.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_process,logic-yield-and-binning,wafer_sort_yield,logic_binned_dies,0.92,0.96,0.985,ratio,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative post-defect wafer-sort pass rate.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_wafer,blackwell-logic-wafer,edge_exclusion_mm,logic_binned_dies,2.0,2.5,3.0,mm,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative unusable wafer edge used by the gross-die approximation.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_wafer,blackwell-logic-wafer,scribe_width_mm,logic_binned_dies,0.07,0.1,0.13,mm,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative scribe width added to both die dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic_wafer,blackwell-logic-wafer,wafer_starts,logic_binned_dies,25000.0,35000.0,45000.0,wafer,0.35,2026-07-17,0.03355,Current linked branch binding probability,0.021807500000000004,Illustrative quarterly Blackwell logic wafer starts. NVIDIA and TSMC do not disclose this range in the cited documents.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
package,advanced-package-assembly,assembly_starts,package_assembly_starts,350000.0,450000.0,550000.0,package,0.35,2026-07-17,0.0002,Current linked branch binding probability,0.00013000000000000002,Illustrative quarterly advanced-package assembly starts allocated to the modeled accelerator.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
