draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
19,16322,271071.93917402957,1954328.2784657916,244291.03480822395,370602.65654996,244291.03480822395,0.9092137881125584,222112.77715992215,3084.8996827766964
20,3591,419797.440871965,2305839.678154065,288229.9597692581,432925.8767644614,288229.9597692581,0.9370855795078212,270096.1388818912,3751.335262248489
21,11474,343807.4126751731,2026326.766779483,253290.84584743538,494148.9273404131,253290.84584743538,0.9606526208992748,243324.514913133,3379.5071515712916
22,13132,436425.8922735893,2537459.420437526,317182.42755469074,432451.9381229884,317182.42755469074,0.9368736277039217,297159.8515470995,4127.2201603763815
23,1513,333110.9282019884,2338112.6368655837,292264.07960819796,457976.8102940569,292264.07960819796,0.9480244366054282,277073.4894105659,3848.2429084800815
24,2636,334501.46042728244,2234955.2145201014,279369.4018150127,476255.1135792874,279369.4018150127,0.9544540219841859,266645.249181655,3703.4062386340975
25,5691,458491.35892574035,2566171.7979825647,320771.4747478206,491591.5484898545,320771.4747478206,0.959766718878601,307865.7858285658,4275.913692063414
26,10142,546134.9208722876,2556345.372046798,319543.17150584975,500645.5720548885,319543.17150584975,0.9629031246441139,307689.1183016727,4273.45997641212
27,19283,351383.5579371433,2201580.445387504,275197.555673438,382538.11071422376,275197.555673438,0.9145514854832837,251682.33334251138,3495.587963090436
28,7901,428091.4546963243,2158220.139099744,269777.517387468,489864.91738471197,269777.517387468,0.9591685963185939,258762.12267085275,3593.9183704285106
29,9969,388615.68569249025,2043006.6006168495,255375.8250771062,485239.09885251906,255375.8250771062,0.9575661657737234,244539.24965038567,3396.3784673664677
30,12496,436075.4766312918,2333029.356708097,291628.6695885121,459543.0762657855,291628.6695885121,0.948615933496216,276643.6026359659,3842.2722588328597
31,5286,435453.1136993473,2350597.603900207,293824.7004875259,518565.25571572623,293824.7004875259,0.9691106851553405,284748.6568050289,3954.8424556254013
32,3123,436981.2553192545,2184980.692289814,273122.58653622674,478662.6219406519,273122.58653622674,0.9552880073444919,260910.73145296559,3623.7601590689665
33,5711,317021.3584269061,2249938.889482512,281242.361185314,431605.73845319194,281242.361185314,0.9364951957070812,263382.12007936224,3658.0850011022535
34,19262,439972.0445667345,2430028.805406425,303753.60067580314,429837.4724600669,303753.60067580314,0.9357044031144954,284223.58161423117,3947.5497446420995
35,2099,327203.93434545194,2154036.3095007623,269254.5386875953,428567.43701786693,269254.5386875953,0.9351364259979768,251789.72699205182,3497.079541556275
36,14029,395345.36498790997,2345173.6003193646,293146.7000399206,461137.09990707337,293146.7000399206,0.9492003759885522,278254.95789769595,3864.652193023555
37,11748,548436.076386366,2366568.695625588,295821.0869531985,467711.5934434256,295821.0869531985,0.9514944597940258,281472.1253262151,3909.33507397521
38,8549,276404.0487009429,2178756.7202275414,272344.5900284427,498867.98833220114,272344.5900284427,0.9622873515796335,262073.75425551116,3639.913253548766
39,1084,457569.8498820166,2345419.7527031754,293177.4690878969,452650.95616335556,293177.4690878969,0.9458762763617342,277309.6127740174,3851.5223996391305
40,7794,495615.0411309101,2383201.319209335,297900.16490116686,494476.04969675647,297900.16490116686,0.9607659394075706,286212.33178093977,3975.1712747352744
41,19322,457208.74231020396,2417967.7877742187,302245.97347177734,439087.8110204984,302245.97347177734,0.9398412802816979,284063.2426677033,3945.322814829213
42,577,375430.88637270354,3136147.679176925,392018.45989711565,417347.7644397867,375430.88637270354,0.9301188358840012,349195.33898787777,4849.935263720525
43,10958,425239.7476408576,2493224.0405238755,311653.00506548444,489876.21846621647,311653.00506548444,0.9591725111280631,298928.9954692677,4151.791603739829
44,4099,433162.8782117442,2854456.7454712465,356807.0931839058,472686.9866311512,356807.0931839058,0.9532179865517804,340114.93895215617,4723.818596557725
45,3915,302663.8142908032,2507618.645712019,313452.33071400237,404577.2137460753,302663.8142908032,0.924407671991752,279784.75196470536,3885.8993328431297
46,3768,349703.42249518057,2835060.202823939,354382.52535299235,484780.90830721427,349703.42249518057,0.9574074439129203,334808.6598587109,4650.120275815429
47,13997,420664.4096628612,2384400.0309322854,298050.00386653567,440903.62376008095,298050.00386653567,0.9406533364257212,280361.73055875587,3893.912924427165
48,3783,459986.594611768,1814119.3764057232,226764.9220507154,434657.469007786,226764.9220507154,0.9378599711008982,212673.7432411814,2953.801989460853
49,7017,523151.15655835246,2032466.7188810431,254058.3398601304,501002.17979731935,254058.3398601304,0.9630266571897664,244664.95376668297,3398.1243578705967
50,19032,316146.0682619632,2241994.820045336,280249.352505667,440170.28236512013,280249.352505667,0.9403253761837518,263525.5778201442,3660.077469724225
51,17920,445672.0058298545,2075676.2023914678,259459.52529893347,377864.0152172132,259459.52529893347,0.9124611664303555,236746.74109573115,3288.149181885155
52,4572,437096.8823455317,2092595.9458340541,261574.49322925677,393983.5789891683,261574.49322925677,0.9196700545027023,240562.22844466733,3341.1420617314907
53,7315,419748.08045548917,2179125.151805279,272390.64397565986,412568.7069584356,272390.64397565986,0.9279815764046652,252773.49919441473,3510.7430443668713
54,14284,411349.9075361344,1908716.487312241,238589.56091403012,369731.85713542026,238589.56091403012,0.9088243547754228,216836.00375384485,3011.611163247845
55,2594,488716.6495375503,2076619.0154724505,259577.37693405632,421367.4132838511,259577.37693405632,0.9319164774962025,241904.43475008977,3359.7838159734692
56,6743,419098.1290115544,2093363.7858547387,261670.47323184233,534295.8569373674,261670.47323184233,0.9745599252652379,255013.5568369437,3541.8549560686624
57,19244,445731.37253597355,2221585.43635965,277698.17954495625,526535.5756353205,277698.17954495625,0.9718716849660036,269886.9976663484,3748.430523143728
58,18656,438587.4269973425,2431446.3664647695,303930.7958080962,363227.77432518516,303930.7958080962,0.9059156405164281,275335.6615571592,3824.1064105161004
59,6338,341174.0393524082,2516389.3465182027,314548.66831477534,386811.9034181937,314548.66831477534,0.9164627836848476,288272.1481681208,4003.7798356683447
60,13564,363143.19756193133,2215022.8472928507,276877.85591160634,416152.5624638369,276877.85591160634,0.9295843253109881,257381.31488114357,3574.7404844603275
61,11386,408090.8127668237,2835160.1544924635,354395.01931155793,396756.8376211219,354395.01931155793,0.9209102934667497,326366.02123736124,4532.861406074462
62,12899,354315.72644118976,2127610.6094265124,265951.32617831405,433707.210552335,265951.32617831405,0.9374350026003817,249312.0821475428,3462.667807604761
63,17939,361153.03151268995,2224367.719357115,278045.9649196394,453580.1056319233,278045.9649196394,0.9462670594917139,263105.7376280434,3654.246355945047
64,18378,551780.784375906,2194101.6548767756,274262.70685959695,486672.1132365888,274262.70685959695,0.9580625765179606,262760.83557669556,3649.4560496763274
65,10692,373471.9476819772,2582180.2861360926,322772.5357670116,407443.83414868836,322772.5357670116,0.9256896636089382,298787.20005636895,4149.822223005124
66,7098,289322.65369945107,1942141.2724506543,242767.6590563318,445440.81805629726,242767.6590563318,0.942682431400414,228852.8071046096,3178.5112097862443
67,17264,337386.4593637154,2503597.846811962,312949.73085149523,451873.84336235793,312949.73085149523,0.9455439510440737,295907.72498750227,4109.829513715309
68,11539,471862.1193174795,2067641.242737763,258455.1553422204,426850.3503766083,258455.1553422204,0.9343685215073545,241492.3613730641,3354.0605746258902
69,399,500452.83757364115,1803625.0282623628,225453.12853279535,509737.4818847351,225453.12853279535,0.9660526545967397,217799.5933062469,3024.9943514756515
70,8463,394157.3246552449,2691787.1577992234,336473.39472490293,400619.0355449168,336473.39472490293,0.9226375208867824,310442.9787533442,4311.708038240892
71,14718,354947.3243862992,2276059.559042193,284507.4448802741,503807.63358762243,284507.4448802741,0.9639984948903848,274264.7486496934,3809.2326201346305
72,11269,460751.2445232227,2609189.9470994105,326148.7433874263,419880.22284760757,326148.7433874263,0.9312513857140169,303726.46922842605,4218.4231837281395
73,18278,300660.1309447241,2097761.9074940807,262220.2384367601,470946.27064506593,262220.2384367601,0.9526149848458909,249794.9284647201,3469.374006454446
74,9984,456748.0699095042,2173301.6811187286,271662.7101398411,449861.80163374287,271662.7101398411,0.9446595553617297,256628.77496906475,3564.2885412370106
75,5511,357582.62596482487,2183284.918294188,272910.6147867735,469756.775096689,272910.6147867735,0.9522029315008578,259866.28743766708,3609.2539921898206
76,6564,339495.28839291993,2315356.13916256,289419.51739532,468656.9552562276,289419.51739532,0.9518219427322875,275475.84731185454,3826.0534348868687
77,1599,396616.80688183114,2233306.7862453638,279163.34828067047,477749.92663904733,279163.34828067047,0.9549718404176503,266593.13648474537,3702.682451177019
78,2852,427988.5905140646,1980423.846941224,247552.980867653,470506.1205802405,247552.980867653,0.9524625123908445,235784.93410704742,3274.7907514867698
79,1552,426815.63905178953,2049523.0689006124,256190.38361257655,442529.18922570645,256190.38361257655,0.9413803114023241,241172.5831034882,3349.6192097706694
80,14408,367278.4371458186,2564347.8325437526,320543.4790679691,434831.28828380216,320543.4790679691,0.9379377054442926,300649.81525214156,4175.691878501966
81,9406,552224.9319028609,2254167.829561622,281770.97869520274,381717.1442619014,281770.97869520274,0.9141843381243558,257590.6156611259,3577.6474397378597
82,11871,321651.2965656946,2447815.832109575,305976.9790136969,489801.96397860465,305976.9790136969,0.9591467886190164,293476.83681233553,4076.0671779491045
83,572,381615.709691505,2223072.7168156183,277884.0896019523,479170.34601491154,277884.0896019523,0.9554638881230606,265508.2126986183,3687.6140652585873
84,12301,380384.7904794509,2020433.2892621444,252554.16115776805,391045.5994215971,252554.16115776805,0.9183561500967834,231934.66713177046,3221.3148212745896
85,3940,486626.5637435174,2723055.2143385233,340381.9017923154,436856.05759919353,340381.9017923154,0.9388432098098868,319565.2372398911,4438.406072776265
86,12492,418044.4685972279,2675876.4121534345,334484.5515191793,424361.5517739142,334484.5515191793,0.9332554969357685,312159.54634536937,4335.549254796797
87,10855,289261.4901790704,1818708.4082895669,227338.55103619586,421090.39978631906,227338.55103619586,0.9317925932939692,211832.37802571032,2942.116361468199
88,1442,435899.9486341647,2469017.7630828083,308627.22038535104,434567.2065475713,308627.22038535104,0.9378196045015269,289436.6577601955,4019.953580002715
89,5384,536635.1957540344,2294974.8678220166,286871.8584777521,471749.02685065643,286871.8584777521,0.9528930677527258,273358.20527679095,3796.64173995543
90,2470,261867.11459495945,1947767.0719493534,243470.88399366918,427587.67500901816,243470.88399366918,0.9346982631072652,227571.81238607306,3160.719616473237
91,17205,328347.0379648666,1846425.8940945938,230803.23676182423,471046.3469972573,230803.23676182423,0.9526496523112173,219874.62325345541,3053.8142118535475
92,2511,434096.9122496625,2352477.1150516863,294059.6393814608,456393.0999817456,294059.6393814608,0.9474083289496108,278594.55155791494,3869.3687716377076
93,4648,557796.4470145614,2123939.6847462617,265492.4605932827,435778.9358106873,265492.4605932827,0.9383615063020575,249127.9052341524,3460.1097949187833
94,19297,460429.3889087328,1981621.7633865015,247702.72042331268,469860.06737118657,247702.72042331268,0.9522387129943496,235872.11970109446,3276.0016625152007
95,10738,498717.67604565865,2587333.5470279,323416.6933784875,474439.3556269538,323416.6933784875,0.9538250249786481,308482.9356402476,4284.4852172256615
96,951,406499.0824677356,1911128.049860387,238891.0062325484,448549.9925252574,238891.0062325484,0.9440728964937143,225530.5242002599,3132.3683916702767
97,3251,396330.3915299232,2329248.3521284773,291156.04401605966,481879.30868420075,291156.04401605966,0.9564023003188639,278462.31024869985,3867.532086787498
98,4437,350590.9971873437,1974251.3365257066,246781.41706571332,423870.6108867453,246781.41706571332,0.9330359414964396,230255.93181573338,3197.999052996297
99,16812,456670.04789786285,1904974.0491080694,238121.75613850867,385360.62969766685,238121.75613850867,0.9158137543462361,218075.17948072654,3028.821937232313
100,5849,261862.6647345108,2057662.8903059568,257207.8612882446,504528.65193167713,257207.8612882446,0.9642482629714032,248012.2334697795,3444.6143537469375
101,4120,333488.793594297,2309842.1797349253,288730.27246686566,499508.02707951306,288730.27246686566,0.9625090675054649,277905.50531268166,3859.7986848983564
102,1744,477325.4403031365,2410845.627474566,301355.70343432075,514376.8778457655,301355.70343432075,0.9676597885009267,291609.7962488028,4050.13605901115
103,1962,435012.93321665825,2787444.7974777217,348430.5996847152,424130.84442730306,348430.5996847152,0.9331523214737822,325138.8229682941,4515.816985670751
104,2700,441436.74219438934,2247675.484232939,280959.43552911736,416511.2474641105,280959.43552911736,0.9297447341196123,261220.5556844156,3628.063273394661
105,6935,400930.9223907732,2393673.4186438755,299209.17733048444,475951.28624501656,299209.17733048444,0.9543487731082488,285549.9112880763,3965.970990112171
106,15163,366363.79775314283,2711878.8282871274,338984.8535358909,460575.28448345757,338984.8535358909,0.9489963677322829,321695.3947218204,4467.991593358617
107,12671,388741.613968635,1864770.369373799,233096.29617172488,510266.94137260475,233096.29617172488,0.9662360647434477,225226.04791924063,3128.1395544338975
108,16617,493874.72695406416,1908167.0077442285,238520.87596802856,458964.33462282876,238520.87596802856,0.9483993959246099,226213.05468348708,3141.8479817150983
109,1077,472519.70737124217,2179226.6043148935,272403.3255393617,422370.0333067253,272403.3255393617,0.9323648628015524,253979.28924319358,3527.4901283776885
110,2858,341494.6377048837,2018394.587653126,252299.32345664076,458692.9374948108,252299.32345664076,0.9482970399438174,239254.70161376017,3322.98196685778
111,248,299331.31054060976,2240767.819229774,280095.9774037218,384658.46535167645,280095.9774037218,0.915499736904434,256427.79362109757,3561.497133626355
112,11882,295380.3077319097,2112506.3623598525,264063.29529498157,465409.1292325886,264063.29529498157,0.9506968627948701,251044.14641621435,3486.724255780755
113,15627,362070.5700616608,2279550.85142786,284943.8564284825,528053.5460613663,284943.8564284825,0.9723975253464633,277078.70085373434,3848.315289635199
114,17129,326440.6904347921,2447511.589161841,305938.94864523015,496693.1733675439,305938.94864523015,0.9615339735764641,294170.69296265393,4085.704068925749
115,1242,333485.3661527108,2278068.6839579823,284758.5854947478,493181.4002604211,284758.5854947478,0.9603174596872259,273458.6414464439,3798.0366867561656
116,13995,414155.1071363323,2251201.1833676645,281400.14792095806,457075.6925196937,281400.14792095806,0.9476761430472421,266676.20683465694,3703.836206036902
117,14438,468775.629881854,2102132.7017374546,262766.5877171818,400016.21218483715,262766.5877171818,0.9223679300844698,242367.4736080563,3366.214911223004
118,15290,477772.2812754943,2238129.2432180936,279766.1554022617,392941.17393883097,279766.1554022617,0.9192038767921737,257162.1346410007,3571.6963144583433
119,2830,437887.9287216797,2364071.152365853,295508.89404573163,467514.71395510796,295508.89404573163,0.9514262587386789,281154.9214859351,3904.929465082432
120,17926,443814.5536345273,2521858.25496494,315232.2818706175,488043.89805031137,315232.2818706175,0.9585377767168444,302162.0506136393,4196.695147411657
121,14715,361329.45993234677,1968743.2055945913,246092.90069932392,378272.3009759232,246092.90069932392,0.9126437573724996,224595.1495569284,3119.377077179561
122,15863,313058.83398921276,2174784.8405104624,271848.1050638078,423872.3706789884,271848.1050638078,0.9330367284994561,253644.26659751165,3522.8370360765507
123,4210,375607.27570605883,2210657.9234952023,276332.2404369003,403491.6041495918,276332.2404369003,0.9239221726207995,255309.48394963404,3545.9650548560285
124,4702,434185.14541613375,2201405.839936654,275175.72999208176,442232.43824836577,275175.72999208176,0.9412476003307795,259008.49552431746,3597.3402156155203
125,16741,373723.1632206946,2257776.8068906926,282222.10086133657,421876.1811496075,282222.10086133657,0.9321440054027222,263071.63951005734,3653.772770973019
126,19165,351529.82836182765,2181752.884803107,272719.1106003884,520552.1144100539,272719.1106003884,0.9697989531965475,264482.7079769501,3673.370944124307
127,5994,427550.7945784673,2396332.8170495303,299541.6021311913,405029.76935134624,299541.6021311913,0.924610061011149,276959.1790218981,3846.655264193029
128,5762,377749.8650195031,2090725.8962460542,261340.73703075678,400095.62991984136,261340.73703075678,0.9224034467752875,241061.59661996408,3348.0777308328343
129,14885,427498.1650030405,2149208.9167673644,268651.11459592055,440216.734978362,268651.11459592055,0.9403461504239401,252625.04141737468,3508.6811307968705
130,10218,435619.02942616155,2229301.902313872,278662.737789234,423228.1376478904,278662.737789234,0.9327486187292788,259922.2837642272,3610.0317189476
131,2325,429488.8058092244,2193451.394510716,274181.4243138395,368150.03986129933,274181.4243138395,0.9081169445848393,248988.7973098033,3458.1777404139348
132,15745,417798.636502467,2635131.872829444,329391.4841036805,513441.80322887504,329391.4841036805,0.9673358691518622,318632.1975666556,4425.447188425772
133,3649,435036.16236857313,1854511.4837291087,231813.9354661386,472464.5322126482,231813.9354661386,0.9531409260807373,220951.3491286156,3068.7687378974388
134,1876,500838.16960968764,2574879.1617057147,321859.89521321433,493872.2872306836,321859.89521321433,0.9605567899541823,309164.7077609946,4293.954274458259
135,410,556151.0417781259,1889808.9998420149,236226.12498025186,429077.30534312944,236226.12498025186,0.935364446044949,220957.51853349817,3068.8544240763636
136,6806,435742.7334630537,2129194.8747377954,266149.35934222443,445612.0679120703,266149.35934222443,0.9427590166641431,250914.70829926716,3484.9265041564886
137,7994,445452.8929425676,2668035.6514877416,333504.4564359677,412821.6488861442,333504.4564359677,0.9280946954736085,309523.71693503077,4298.940512986538
138,4357,362893.4848047993,2004469.3144353002,250558.66430441252,459267.94854380796,250558.66430441252,0.9485132865069992,237658.22214218226,3300.8086408636427
139,18530,285609.4503495163,2215666.6188576636,276958.32735720795,454300.55532123405,276958.32735720795,0.9465652580539952,262159.1306050784,3641.099036181645
140,10591,331637.31789982953,1827115.2007865747,228389.40009832184,368503.31515168486,228389.40009832184,0.9082749340976538,207440.36732290595,2881.116212818138
141,2867,429512.73262324784,2362594.6307226513,295324.3288403314,484765.69501668273,295324.3288403314,0.9574021738744901,282744.1544297581,3927.0021448577513
142,15884,504505.2044101371,2247880.1325846645,280985.01657308306,443651.73753532924,280985.01657308306,0.941882330267993,264654.8221802461,3675.761419170085
143,8342,367172.94206061,2236612.2501599863,279576.5312699983,406460.5280015776,279576.5312699983,0.9252499157314116,258678.16199804627,3592.752249972865
144,17969,411369.26662784803,2113017.9216686394,264127.2402085799,449856.9702282315,264127.2402085799,0.9446573946914997,249509.75060249303,3465.413202812403
145,15862,387887.1462902207,2485282.5030373884,310660.31287967355,464080.0384660987,310660.31287967355,0.9502364522477839,295200.75356496754,4100.010466180105
146,1586,475614.37486605486,2199755.492778665,274969.4365973331,478311.48525239516,274969.4365973331,0.9551663700275995,262641.55862320884,3647.799425322345
147,17355,390107.5845803745,2477217.2652933523,309652.15816166904,424391.41932822013,309652.15816166904,0.9332688541121184,288988.7148208853,4013.732150290073
148,17405,295257.64764347486,2493418.203689768,311677.275461221,467515.04232593876,295257.64764347486,0.9514263724896715,280915.9126472649,3901.609897878679
149,13616,451347.85770756647,2486169.381610208,310771.172701276,388629.3992176139,310771.172701276,0.9172755925161123,285062.81157649006,3959.2057163401396
150,233,467522.6285964327,2554896.1484614625,319362.0185576828,417070.809704129,319362.0185576828,0.929994977960877,297005.07341009344,4125.070464029075
151,893,291874.107238187,2498826.9078494105,312353.3634811763,432473.15254364384,291874.107238187,0.9368831150812594,273451.9228008742,3797.9433722343642
152,11091,351173.53046716785,2385576.0392039577,298197.0049004947,497406.2871054185,298197.0049004947,0.9617810034215789,286800.21459050727,3983.3363137570454
153,12344,285126.87794745946,2015704.6718390696,251963.0839798837,428658.64651342906,251963.0839798837,0.9351772161244308,235630.13544243382,3272.640770033803
154,1416,488496.70833222824,2040800.0718863278,255100.00898579098,399174.4167320841,255100.00898579098,0.9219914677133686,235200.03169850295,3266.667106923652
155,19833,341387.7808322297,2127903.6207486424,265987.9525935803,473358.39799824567,265987.9525935803,0.9534505702718977,253606.36508580364,3522.3106261917173
156,1359,435697.23647177865,2225113.761546868,278139.2201933585,424413.22281820927,278139.2201933585,0.9332786049292708,259581.38339817288,3605.29699164129
157,1524,484383.37294287345,2292645.6640942283,286580.70801177854,431155.5944158505,286580.70801177854,0.9362938851736488,268323.7645201631,3726.7189516689323
158,17942,488493.94219021127,2337953.765368586,292244.22067107324,449250.56242563843,292244.22067107324,0.9443862008777628,275991.4092880374,3833.2140178894083
159,5334,469651.12051343085,2098567.2729516467,262320.90911895584,502826.5629444398,262320.90911895584,0.9636586420504235,252787.81106300553,3510.9418203195214
160,455,284796.02253423637,2275794.3592362804,284474.29490453505,485336.1949732519,284474.29490453505,0.9575998008565889,272412.5281494013,3783.5073354083515
161,5797,313894.0598991352,2355030.950052049,294378.8687565061,540656.5106394736,294378.8687565061,0.9767633203415178,287538.4812849848,3993.590017847011
162,4093,398293.4441822716,2135011.652831536,266876.456603942,454630.61026913946,266876.456603942,0.9467004914371642,252652.07261996088,3509.0565641661233
163,13012,326377.65318421664,1985541.9252994854,248192.74066243568,422726.46304236446,248192.74066243568,0.9325242630251707,231445.75257443514,3214.524341311599
164,17503,414015.6253648853,2157346.9296032437,269668.36620040546,477132.76098839287,269668.36620040546,0.9547580479649262,257468.04291139002,3575.9450404359723
165,14794,406440.6730913078,2802532.4803813924,350316.56004767405,508975.057249057,350316.56004767405,0.9657885429555524,338331.7201016444,4699.051668078395
166,313,436486.8300320346,2725110.686815637,340638.83585195465,454075.54033078434,340638.83585195465,0.9464725683326606,322405.31384264707,4477.851581147876
167,13214,401538.64759061416,2793656.2908501374,349207.03635626717,467274.8635049289,349207.03635626717,0.9513431721054932,332215.7296887295,4614.10735678791
168,9536,354121.22152051097,2021405.4609714856,252675.6826214357,397724.8986195784,252675.6826214357,0.9213432235065326,232801.02792814714,3233.3476101131546
169,6688,343783.00014163187,2221182.354881835,277647.7943602294,397363.2058541577,277647.7943602294,0.9211814695844426,255764.00323563523,3552.277822717156
170,17808,369351.1175215258,2414647.4344910188,301830.92931137735,440311.42567946366,301830.92931137735,0.9403884973928401,283838.33408181067,3942.1990844695924
171,3873,381528.5426096217,2412897.2682782537,301612.1585347817,497601.38278558,301612.1585347817,0.9618485865476543,290105.2283722668,4029.23928294815
172,8561,512059.2283381283,2311182.2255378603,288897.77819223254,489626.1810718915,288897.77819223254,0.9590858956339104,277077.78434414417,3848.302560335336
173,8510,512952.76472600317,1999551.4544011024,249943.9318001378,501256.7072307985,249943.9318001378,0.9631148280791076,240724.7069051059,3343.39870701536
174,17131,399219.3152036407,2241094.3499719272,280136.7937464909,435984.26816469064,280136.7937464909,0.9384533337223638,262895.30798968865,3651.323722079009
175,11188,547702.3674857264,2108357.0754751572,263544.63443439465,530545.4086272555,263544.63443439465,0.973260731860383,256497.64378749602,3562.467274826334
176,19651,411915.7688855996,2426601.880918429,303325.2351148036,498098.8807310479,303325.2351148036,0.9620209248912965,291805.2232280133,4052.850322611296
177,12716,468006.49227630405,2417807.9413724816,302225.9926715602,450005.7005138125,302225.9926715602,0.9447239087519564,285520.1211231165,3965.5572378210627
178,3344,495297.56188644073,2152827.5997871873,269103.4499733984,494847.4759509351,269103.4499733984,0.960894605236271,258580.05332990727,3591.3896295820455
179,7158,407568.7385810523,2628002.167206205,328500.2709007756,463373.2041491332,328500.2709007756,0.9499915957749144,312072.49656551954,4334.34023007666
180,17130,411012.5544776547,2324865.1502093556,290608.14377616945,507193.43922417064,290608.14377616945,0.9651713723677957,280486.6609497032,3895.6480687458775
181,17653,380956.83146374027,2042134.0852666856,255266.7606583357,465481.5617859408,255266.7606583357,0.9507219541673757,242687.7135270687,3370.6626878759544
182,12524,386232.34616167005,2062420.1973539146,257802.52466923933,395792.71675416053,257802.52466923933,0.9204791255073392,237301.84246112566,3295.8589230711896
183,3061,500744.1893219705,2510482.230253632,313810.278781704,398781.9811946572,313810.278781704,0.921815965205674,289275.32502661814,4017.7128475919185
184,14430,287987.1169293386,2188021.368543448,273502.671067931,440300.9683533623,273502.671067931,0.940383820734435,257197.48679993438,3572.187316665755
185,4491,389827.617794296,2447524.047766522,305940.50597081525,463947.97200047766,305940.50597081525,0.9501907030820975,290701.8244697016,4037.525339856967
186,9155,341244.5164191296,2686482.667264333,335810.3334080416,434357.6214596598,335810.3334080416,0.9377258752007989,314898.0387965279,4373.583872173998
187,1152,547739.9674284102,2086156.804640128,260769.600580016,502111.2653482888,260769.600580016,0.9634108556946104,251228.26403393497,3489.2814449157636
188,14341,283300.1139217116,2525682.581298377,315710.3226622971,502599.2996462797,283300.1139217116,0.9635799157346017,272982.29990028596,3791.420831948416
189,13504,481001.79555143946,1836712.104893935,229589.01311174186,413890.7596888429,229589.01311174186,0.9285728163596713,213190.11651040762,2960.973840422328
190,7191,414262.4273604147,2192874.6765428516,274109.33456785645,410628.7376107091,274109.33456785645,0.9271139957375087,254130.60044015502,3529.591672779931
191,17359,305388.84575566807,2631403.8121682126,328925.4765210266,396674.80931747484,305388.84575566807,0.9208736092941429,281224.5286291943,3905.896230961032
192,8408,374374.9499491966,2281969.1504053264,285246.1438006658,404394.71168098267,285246.1438006658,0.9243260545870359,263660.4426854357,3661.9505928532735
193,19538,370015.3772552613,2176777.235991927,272097.15449899086,528350.7234713472,272097.15449899086,0.9725004706210529,264614.610804918,3675.202927846083
194,6089,548485.629444149,1895454.792804075,236931.84910050937,470765.4470715444,236931.84910050937,0.9525523457225819,225689.988637079,3134.583175514986
